wo,coord_focal,cliente,plataforma,proposta_comercial,id_ticket_req,po_contrato,draft_codigo,data_draft,doc,num_doc,data_doc,escopo,faturado_por,exterior_com_iss,vl_bruto,cofins_3,csll_1,inss_11,irpj_15,pis_065,iss_retido,total_retido,vl_liquido,cofins_76,csll_288,icms_20,irpj_48,pis_165,iss_pagar,total_a_pagar,vencimento,status,data_envio_cliente,obs,data_pgto,data_inicio,data_fim,focal,prev_fat,prev_pag
3253,MF,SBM,FPSO ESS,QT-4596 Rev.0,BM 01,P2704202,4433,2025-01-13,FAT. LOC.,2477,2025-04-15,LOCAÇÃO,Rio,0,25595.34,,,,,,,,25595.34,1945.25,737.15,,1228.58,422.32,,4333.29,2025-05-15,PAGO,2025-02-10,,2025-05-15,2025-01-01,2025-02-04,DT,2025-04-15,2026-04-06
3300,GR,Transocean,Deepwater Corcovado,,,PO 18600007653_1,4447,2025-01-21,NFSe,862,2025-02-06,SERVIÇO,Macaé,0,166159.80,4984.79,1661.60,,2492.40,1080.04,3323.20,13542.02,152617.78,7643.35,3123.80,,5483.27,1661.60,4984.79,22896.82,2025-03-08,PAGO,2025-02-05,,2025-02-27,2025-01-01,2025-01-31,DT,2025-02-06,2026-04-06
3300,GR,Transocean,Deepwater Corcovado,,,PO 18600007653_1,4447,2025-01-21,FAT. LOC.,548,2025-02-06,LOCAÇÃO,Macaé,0,23020.20,,,,,,,,23020.20,1749.54,662.98,,1104.97,379.83,,3897.32,2025-03-08,PAGO,2025-02-05,,2025-02-27,2025-01-01,2025-01-31,DT,2025-02-06,2026-04-06
3301,GR,Transocean,Mykonos,,,PO 18500006835_0,4448,2025-01-21,NFSe,868,2025-02-07,SERVIÇO,Macaé,0,166159.80,4984.79,1661.60,,2492.40,1080.04,3323.20,13542.02,152617.78,7643.35,3123.80,,5483.27,1661.60,4984.79,22896.82,2025-03-09,PAGO,2025-02-04,,2025-02-27,2025-01-01,2025-01-31,DT,2025-02-07,2026-04-06
3301,GR,Transocean,Mykonos,,,PO 18500006835_0,4448,2025-01-21,FAT. LOC.,552,2025-02-07,LOCAÇÃO,Macaé,0,23020.20,,,,,,,,23020.20,1749.54,662.98,,1104.97,379.83,,3897.32,2025-03-09,PAGO,2025-02-04,,2025-02-27,2025-01-01,2025-01-31,DT,2025-02-07,2026-04-06
3302,GR,Transocean,P10.000,,,PO 18900009191,4449,2025-01-21,NFSe,863,2025-02-06,SERVIÇO,Macaé,0,166159.80,4984.79,1661.60,,2492.40,1080.04,3323.20,13542.02,152617.78,7643.35,3123.80,,5483.27,1661.60,4984.79,22896.82,2025-03-08,PAGO,2025-02-03,,2025-03-28,2025-01-01,2025-01-31,DT,2025-02-06,2026-04-06
3303,GR,Transocean,KG2,,,18700007970,4450,2025-01-21,NFSe,879,2025-02-13,SERVIÇO,Macaé,0,166159.80,4984.79,1661.60,,2492.40,1080.04,3323.20,13542.02,152617.78,7643.35,3123.80,,5483.27,1661.60,4984.79,22896.82,2025-03-15,PAGO,2025-02-03,,2025-03-07,2025-01-01,2025-01-31,DT,2025-02-13,2026-04-06
3303,GR,Transocean,KG2,,,18700007970,4450,2025-01-21,FAT. LOC.,560,2025-02-13,LOCAÇÃO,Macaé,0,23020.20,,,,,,,,23020.20,1749.54,662.98,,1104.97,379.83,,3897.32,2025-03-15,PAGO,2025-02-03,,2025-03-07,2025-01-01,2025-01-31,DT,2025-02-13,2026-04-06
3304,GR,Transocean,Orion,,,PO 20100002905,4451,2025-01-21,NFSe,869,2025-02-07,SERVIÇO,Macaé,0,166159.80,4984.79,1661.60,,2492.40,1080.04,3323.20,13542.02,152617.78,7643.35,3123.80,,5483.27,1661.60,4984.79,22896.82,2025-03-09,PAGO,2025-02-04,,2025-02-27,2025-01-01,2025-01-31,DT,2025-02-07,2026-04-06
3304,GR,Transocean,Orion,,,PO 20100002905,4451,2025-01-21,FAT. LOC.,553,2025-02-07,LOCAÇÃO,Macaé,0,23020.20,,,,,,,,23020.20,1749.54,662.98,,1104.97,379.83,,3897.32,2025-03-09,PAGO,2025-02-04,,2025-02-27,2025-01-01,2025-01-31,DT,2025-02-07,2026-04-06
3305,GR,Transocean,Aquila,,,PO22700002797,4452,2025-01-21,NFSe,859,2025-02-04,SERVIÇO,Macaé,0,166159.80,4984.79,1661.60,,2492.40,1080.04,3323.20,13542.02,152617.78,7643.35,3123.80,,5483.27,1661.60,4984.79,22896.82,2025-03-06,PAGO,2025-02-03,,2025-02-27,2025-01-01,2025-01-31,DT,2025-02-04,2026-04-06
3305,GR,Transocean,Aquila,,,PO22700002797,4452,2025-01-21,FAT. LOC.,546,2025-02-04,LOCAÇÃO,Macaé,0,23020.20,,,,,,,,23020.20,1749.54,662.98,,1104.97,379.83,,3897.32,2025-03-06,PAGO,2025-02-03,,2025-02-27,2025-01-01,2025-01-31,DT,2025-02-04,2026-04-06
3227,VR,Schlumberger,Peregrino C,QT-4543 Rev.1,PR 005,PO 4504458055/ SE 1012015012,4461,2025-01-21,NFSe,987,2025-04-17,SERVIÇO,Macae,0,286038.13,8581.14,2860.38,,4290.57,1859.25,,17591.34,268446.79,13157.75,5377.52,,9439.26,2860.38,14301.91,45136.82,2025-05-17,PAGO,2025-02-26,( DESMOB DE MAT E RELATÓRIO),2025-05-19,2025-01-01,2025-02-21,DT,2025-04-17,2026-04-06
3227,VR,Schlumberger,Peregrino C,QT-4543 Rev.1,PR 006,PO 4504458055 / SE 1012016634,4461,2025-01-21,FAT. LOC.,640,2025-04-17,LOCAÇÃO,Macae,0,66510.00,,,,,,,,66510.00,5054.76,1915.49,,3192.48,1097.41,,11260.14,2025-05-17,PAGO,2025-02-26,Vitoria informou que foi solicitado para uma emergencia um time para trabalhar duas diárias,2025-05-19,2025-01-01,2025-02-03,DT,2025-04-17,2026-04-06
